departement,categorie,indicateur,date,annee,nombre,taux,population,unite,rate_unit
95,Vandalisme,,2025-07-17,2025,,,,,
75,Agression Verbale,,2025-07-17,2025,,,,,
78,Vol,,2025-07-17,2025,,,,,
59,Agression Verbale,,2025-07-17,2025,,,,,
59,Vol,,2025-07-16,2025,,,,,
6,Fraude CB,,2025-07-16,2025,,,,,
40,Agression Verbale,,2025-07-16,2025,,,,,
36,Agression Verbale,,2025-07-16,2025,,,,,
75,Vol sur un tiers,,2025-07-15,2025,,,,,
33,Bagarre,,2025-07-15,2025,,,,,
93,Vandalisme,,2025-07-15,2025,,,,,
60,Agression Verbale,,2025-07-15,2025,,,,,
35,SDF,,2025-07-15,2025,,,,,
60,Agression Verbale,,2025-07-14,2025,,,,,
95,Tentative de vol,,2025-07-14,2025,,,,,
13,Evenement suspect,,2025-07-14,2025,,,,,
54,Agression Verbale,,2025-07-14,2025,,,,,
59,Agression Verbale,,2025-07-14,2025,,,,,
59,Agression Verbale,,2025-07-14,2025,,,,,
83,Divers,,2025-07-14,2025,,,,,
92,Tentative de fraude autres,,2025-07-14,2025,,,,,
75,Agression Verbale,,2025-07-13,2025,,,,,
83,Vol sur un tiers,,2025-07-13,2025,,,,,
95,Agression Verbale,,2025-07-13,2025,,,,,
95,Evenement suspect,,2025-07-13,2025,,,,,
27,Agression Verbale,,2025-07-13,2025,,,,,
78,Agression Verbale,,2025-07-12,2025,,,,,
76,Vol,,2025-07-12,2025,,,,,
34,Agression Verbale,,2025-07-12,2025,,,,,
13,Agression Verbale,,2025-07-12,2025,,,,,
34,Agression Verbale,,2025-07-12,2025,,,,,
13,Agression Verbale,,2025-07-11,2025,,,,,
59,Vol,,2025-07-11,2025,,,,,
59,SDF,,2025-07-11,2025,,,,,
92,Bagarre,,2025-07-11,2025,,,,,
4,Agression Verbale,,2025-07-11,2025,,,,,
73,Agression Verbale,,2025-07-11,2025,,,,,
57,Fraude TotalFleet,,2025-07-10,2025,,,,,
78,Divers,,2025-07-10,2025,,,,,
13,Vol sur un tiers,,2025-07-10,2025,,,,,
74,Agression Verbale,,2025-07-10,2025,,,,,
34,Tentative de vol,,2025-07-09,2025,,,,,
77,Vandalisme,,2025-07-09,2025,,,,,
21,Agression Verbale,,2025-07-09,2025,,,,,
21,Agression sur un tiers,,2025-07-08,2025,,,,,
45,Vandalisme,,2025-07-08,2025,,,,,
13,Vandalisme,,2025-07-08,2025,,,,,
75,Agression Verbale,,2025-07-07,2025,,,,,
92,Agression Verbale,,2025-07-07,2025,,,,,
27,Divers,,2025-07-07,2025,,,,,
77,Agression Verbale,,2025-07-07,2025,,,,,
83,Installation MENS,,2025-07-07,2025,,,,,
11,Agression Verbale,,2025-07-07,2025,,,,,
59,Vol,,2025-07-07,2025,,,,,
75,SDF,,2025-07-07,2025,,,,,
13,Vol,,2025-07-07,2025,,,,,
63,Divers,,2025-07-05,2025,,,,,
77,Agression Verbale,,2025-07-05,2025,,,,,
92,Agression sur un tiers,,2025-07-05,2025,,,,,
93,Vol sur un tiers,,2025-07-04,2025,,,,,
13,Agression sur un tiers,,2025-07-04,2025,,,,,
75,Vandalisme,,2025-07-04,2025,,,,,
59,Agression Verbale,,2025-07-04,2025,,,,,
8,Agression Verbale,,2025-07-04,2025,,,,,
34,Agression Physique,,2025-07-04,2025,,,,,
31,Evenement suspect,,2025-07-03,2025,,,,,
